PROPERTY VALUE,ONTOLOGY TERM LABEL(S),ONTOLOGY TERM(S),ontology term URI
Candidatus Phytoplasma trifolii,Candidatus Phytoplasma trifolii,NCBITaxon_35776,http://purl.obolibrary.org/obo/NCBITaxon_35776
Canna yellow mottle virus,Canna yellow mottle virus,NCBITaxon_419782,http://purl.obolibrary.org/obo/NCBITaxon_419782
Cape St Paul wilt phytoplasma,Cape St. Paul wilt phytoplasma,NCBITaxon_1775908,http://purl.obolibrary.org/obo/NCBITaxon_1775908
Capsicum chlorosis orthotospovirus,Capsicum chlorosis orthotospovirus,NCBITaxon_2560373,http://purl.obolibrary.org/obo/NCBITaxon_2560373
Caraway yellows virus,Caraway yellows virus,NCBITaxon_2530363,http://purl.obolibrary.org/obo/NCBITaxon_2530363
Carica papaya yellow phytoplasma,Carica papaya' phytoplasma,NCBITaxon_1082497,http://purl.obolibrary.org/obo/NCBITaxon_1082497
Carphoborus bifurcus,Carphoborus bifurcus,NCBITaxon_479310,http://purl.obolibrary.org/obo/NCBITaxon_479310
Carphoborus pini,Carphoborus pini,NCBITaxon_2696732,http://purl.obolibrary.org/obo/NCBITaxon_2696732
Carpomya vesuviana,Carpomya vesuviana,NCBITaxon_946126,http://purl.obolibrary.org/obo/NCBITaxon_946126
Carpophilus hemipterus,Carpophilus hemipterus,NCBITaxon_913120,http://purl.obolibrary.org/obo/NCBITaxon_913120
Carrot Thin Leaf Virus,Carrot thin leaf virus,NCBITaxon_114922,http://purl.obolibrary.org/obo/NCBITaxon_114922
Cassava brown streak virus,Cassava brown streak virus,NCBITaxon_137758,http://purl.obolibrary.org/obo/NCBITaxon_137758
Cassida obtusata,Cassida obtusata,NCBITaxon_2867196,http://purl.obolibrary.org/obo/NCBITaxon_2867196
Cathaica fasciola,Cathaica fasciola,NCBITaxon_1506475,http://purl.obolibrary.org/obo/NCBITaxon_1506475
Caucasus prunus virus,Caucasus prunus virus,NCBITaxon_1667230,http://purl.obolibrary.org/obo/NCBITaxon_1667230
Cephus cinctus,Cephus cinctus,NCBITaxon_211228,http://purl.obolibrary.org/obo/NCBITaxon_211228
Ceratobasidium lantanae-camarae,Ceratobasidium lantanae-camarae,NCBITaxon_2795748,http://purl.obolibrary.org/obo/NCBITaxon_2795748
Ceratocystiopsis quercina,Ceratocystiopsis quercina,NCBITaxon_2867458,http://purl.obolibrary.org/obo/NCBITaxon_2867458
Ceratocystis ficicola,Ceratocystis ficicola,NCBITaxon_879098,http://purl.obolibrary.org/obo/NCBITaxon_879098
Ceratocystis fimbriata,Ceratocystis fimbriata,NCBITaxon_5158,http://purl.obolibrary.org/obo/NCBITaxon_5158
Ceratocystis manginecans,Ceratocystis manginecans,NCBITaxon_929235,http://purl.obolibrary.org/obo/NCBITaxon_929235
Ceratocystis quercicola,Ceratocystis quercicola,NCBITaxon_2713137,http://purl.obolibrary.org/obo/NCBITaxon_2713137
Ceratothripoides brunneus,Ceratothripoides brunneus,NCBITaxon_670453,http://purl.obolibrary.org/obo/NCBITaxon_670453
Cercospora cf. flagellaris,Cercospora cf. flagellaris,NCBITaxon_1868926,http://purl.obolibrary.org/obo/NCBITaxon_1868926
Cercospora iranica,Cercospora iranica,NCBITaxon_1583372,http://purl.obolibrary.org/obo/NCBITaxon_1583372
Cercospora sojina,Cercospora sojina,NCBITaxon_438356,http://purl.obolibrary.org/obo/NCBITaxon_438356
Cercospora vignigena,Cercospora vignigena,NCBITaxon_1246978,http://purl.obolibrary.org/obo/NCBITaxon_1246978
Ceroplastes ceriferus,Ceroplastes ceriferus,NCBITaxon_1028181,http://purl.obolibrary.org/obo/NCBITaxon_1028181
Ceroplastes cirripediformis,Ceroplastes cirripediformis,NCBITaxon_1585290,http://purl.obolibrary.org/obo/NCBITaxon_1585290
Ceroplastes destructor,Ceroplastes destructor,NCBITaxon_1285728,http://purl.obolibrary.org/obo/NCBITaxon_1285728
Ceroplastes japonicus,Ceroplastes japonicus,NCBITaxon_1182649,http://purl.obolibrary.org/obo/NCBITaxon_1182649
Ceroplastes pseudoceriferus,Ceroplastes pseudoceriferus,NCBITaxon_1182651,http://purl.obolibrary.org/obo/NCBITaxon_1182651
Cerotoma trifurcata,Cerotoma trifurcata,NCBITaxon_27441,http://purl.obolibrary.org/obo/NCBITaxon_27441
Cerrena albocinnamomea,Cerrena albocinnamomea,NCBITaxon_2169404,http://purl.obolibrary.org/obo/NCBITaxon_2169404
Cerroneuroterus lanuginosus,Cerroneuroterus lanuginosus,NCBITaxon_207805,http://purl.obolibrary.org/obo/NCBITaxon_207805
Chaetocnema confinis,Chaetocnema confinis,NCBITaxon_1896592,http://purl.obolibrary.org/obo/NCBITaxon_1896592
Chaetocnema minuta,Chaetocnema minuta,NCBITaxon_2485437,http://purl.obolibrary.org/obo/NCBITaxon_2485437
Chaetoptelius vestitus,Chaetoptelius vestitus,NCBITaxon_1220339,http://purl.obolibrary.org/obo/NCBITaxon_1220339
Cherry mottle leaf virus,Cherry mottle leaf virus,NCBITaxon_131226,http://purl.obolibrary.org/obo/NCBITaxon_131226
Cherry virus B,Cherry virus B,NCBITaxon_2108357,http://purl.obolibrary.org/obo/NCBITaxon_2108357
Cherry virus F,Cherry virus F,NCBITaxon_2171759,http://purl.obolibrary.org/obo/NCBITaxon_2171759
Cherry virus T,Cherry virus T,NCBITaxon_2763129,http://purl.obolibrary.org/obo/NCBITaxon_2763129
Cherry Virus Turkey,Cherry virus Turkey,NCBITaxon_2506409,http://purl.obolibrary.org/obo/NCBITaxon_2506409
Chickpea chlorotic dwarf virus,Chickpea chlorotic dwarf virus,NCBITaxon_463360,http://purl.obolibrary.org/obo/NCBITaxon_463360
Chickpea chlorotic stunt virus,Chickpea chlorotic stunt virus,NCBITaxon_328430,http://purl.obolibrary.org/obo/NCBITaxon_328430
Chicory mosaic cavemovirus,chicory mosaic cavemovirus,NCBITaxon_2871729,http://purl.obolibrary.org/obo/NCBITaxon_2871729
Chilli pepper mild mottle virus,Pepper mild mottle virus,NCBITaxon_12239,http://purl.obolibrary.org/obo/NCBITaxon_12239
Chilli veinal mottle virus,Chilli veinal mottle virus,NCBITaxon_52280,http://purl.obolibrary.org/obo/NCBITaxon_52280
Chilo partellus,Chilo partellus,NCBITaxon_236792,http://purl.obolibrary.org/obo/NCBITaxon_236792
Chinese wheat mosaic virus,Chinese wheat mosaic virus,NCBITaxon_83544,http://purl.obolibrary.org/obo/NCBITaxon_83544
Chionaspis pinifoliae,Chionaspis pinifoliae,NCBITaxon_340533,http://purl.obolibrary.org/obo/NCBITaxon_340533
Choanephora cucurbitarum,Choanephora cucurbitarum,NCBITaxon_101091,http://purl.obolibrary.org/obo/NCBITaxon_101091
Chondracris rosea,Chondracris rosea,NCBITaxon_183410,http://purl.obolibrary.org/obo/NCBITaxon_183410
Choristoneura,Choristoneura,NCBITaxon_7140,http://purl.obolibrary.org/obo/NCBITaxon_7140
Choristoneura argentifasciata,Choristoneura argentifasciata,NCBITaxon_1144643,http://purl.obolibrary.org/obo/NCBITaxon_1144643
Choristoneura bracatana,Choristoneura,NCBITaxon_7140,http://purl.obolibrary.org/obo/NCBITaxon_7140
Choristoneura chapana,Choristoneura,NCBITaxon_7140,http://purl.obolibrary.org/obo/NCBITaxon_7140
Choristoneura colyma,Choristoneura,NCBITaxon_7140,http://purl.obolibrary.org/obo/NCBITaxon_7140
Choristoneura deuteros,Choristoneura,NCBITaxon_7140,http://purl.obolibrary.org/obo/NCBITaxon_7140
Choristoneura dinota,Choristoneura dinota,NCBITaxon_1504113,http://purl.obolibrary.org/obo/NCBITaxon_1504113
Choristoneura ferrugininotata,Choristoneura,NCBITaxon_7140,http://purl.obolibrary.org/obo/NCBITaxon_7140
Choristoneura fractivittana,Choristoneura fractivittana,NCBITaxon_687023,http://purl.obolibrary.org/obo/NCBITaxon_687023
Choristoneura griseicoma,Choristoneura,NCBITaxon_7140,http://purl.obolibrary.org/obo/NCBITaxon_7140
Choristoneura holovera,Choristoneura,NCBITaxon_7140,http://purl.obolibrary.org/obo/NCBITaxon_7140
Choristoneura improvisana,Choristoneura,NCBITaxon_7140,http://purl.obolibrary.org/obo/NCBITaxon_7140
Choristoneura jecorana,Choristoneura,NCBITaxon_7140,http://purl.obolibrary.org/obo/NCBITaxon_7140
Choristoneura jezoensis,Choristoneura jezoensis,NCBITaxon_2750332,http://purl.obolibrary.org/obo/NCBITaxon_2750332
Choristoneura longicellanus,Choristoneura,NCBITaxon_7140,http://purl.obolibrary.org/obo/NCBITaxon_7140
Choristoneura luticostana,Choristoneura luticostana,NCBITaxon_1892584,http://purl.obolibrary.org/obo/NCBITaxon_1892584
Choristoneura metasequoiacola,Choristoneura,NCBITaxon_7140,http://purl.obolibrary.org/obo/NCBITaxon_7140
Choristoneura neurophaea,Choristoneura,NCBITaxon_7140,http://purl.obolibrary.org/obo/NCBITaxon_7140
Choristoneura nowakiana,Choristoneura,NCBITaxon_7140,http://purl.obolibrary.org/obo/NCBITaxon_7140
Choristoneura obsoletana,Choristoneura obsoletana,NCBITaxon_2680236,http://purl.obolibrary.org/obo/NCBITaxon_2680236
Choristoneura oluduana,Choristoneura,NCBITaxon_7140,http://purl.obolibrary.org/obo/NCBITaxon_7140
Choristoneura palladinoi,Choristoneura,NCBITaxon_7140,http://purl.obolibrary.org/obo/NCBITaxon_7140
Choristoneura propensa,Choristoneura,NCBITaxon_7140,http://purl.obolibrary.org/obo/NCBITaxon_7140
Choristoneura psoricodes,Choristoneura,NCBITaxon_7140,http://purl.obolibrary.org/obo/NCBITaxon_7140
Choristoneura quadratica,Choristoneura,NCBITaxon_7140,http://purl.obolibrary.org/obo/NCBITaxon_7140
Choristoneura saotome,Choristoneura,NCBITaxon_7140,http://purl.obolibrary.org/obo/NCBITaxon_7140
Choristoneura spaldingana,Choristoneura,NCBITaxon_7140,http://purl.obolibrary.org/obo/NCBITaxon_7140
Choristoneura zapulata,Choristoneura zapulata,NCBITaxon_1144645,http://purl.obolibrary.org/obo/NCBITaxon_1144645
Chrysanthemum mosaic-associated virus,Chrysanthemum mosaic-associated virus,NCBITaxon_2746510,http://purl.obolibrary.org/obo/NCBITaxon_2746510
Chrysanthemum yellow dwarf associated virus,Chrysanthemum yellow dwarf virus,NCBITaxon_2813545,http://purl.obolibrary.org/obo/NCBITaxon_2813545
Chrysaster ostensackenella,Chrysaster ostensackenella,NCBITaxon_1075147,http://purl.obolibrary.org/obo/NCBITaxon_1075147
Chrysobothris femorata,Chrysobothris femorata,NCBITaxon_374459,http://purl.obolibrary.org/obo/NCBITaxon_374459
Chrysobothris mali,Chrysobothris mali,NCBITaxon_1932428,http://purl.obolibrary.org/obo/NCBITaxon_1932428
Chrysodeixis eriosoma,Chrysodeixis eriosoma,NCBITaxon_254718,http://purl.obolibrary.org/obo/NCBITaxon_254718
Chrysodeixis includens,Chrysodeixis includens,NCBITaxon_689277,http://purl.obolibrary.org/obo/NCBITaxon_689277
Chrysomyxa ledicola,Chrysomyxa ledicola,NCBITaxon_647250,http://purl.obolibrary.org/obo/NCBITaxon_647250
Chrysoporthe deuterocubensis,Chrysoporthe deuterocubensis,NCBITaxon_764597,http://purl.obolibrary.org/obo/NCBITaxon_764597
Citrus bark cracking viroid,Citrus bark cracking viroid,NCBITaxon_12898,http://purl.obolibrary.org/obo/NCBITaxon_12898
Citrus bent leaf viroid,Citrus bent leaf viroid,NCBITaxon_12906,http://purl.obolibrary.org/obo/NCBITaxon_12906
Citrus blight agent,Citrus blight-associated pararetrovirus,NCBITaxon_2689385,http://purl.obolibrary.org/obo/NCBITaxon_2689385
Citrus chlorotic dwarf associated virus,Citrus chlorotic dwarf associated virus,NCBITaxon_1202142,http://purl.obolibrary.org/obo/NCBITaxon_1202142
Citrus concave gum-associated virus,Citrus concave gum-associated virus,NCBITaxon_2024604,http://purl.obolibrary.org/obo/NCBITaxon_2024604
Citrus exocortis viroid,Citrus exocortis viroid,NCBITaxon_12890,http://purl.obolibrary.org/obo/NCBITaxon_12890
Citrus sudden death-associated virus,Citrus sudden death-associated virus,NCBITaxon_312008,http://purl.obolibrary.org/obo/NCBITaxon_312008
Citrus Viroid V,Citrus viroid V,NCBITaxon_459949,http://purl.obolibrary.org/obo/NCBITaxon_459949
Citrus viroid VI,Citrus viroid VI,NCBITaxon_697192,http://purl.obolibrary.org/obo/NCBITaxon_697192
Citrus virus A,Citrus virus A,NCBITaxon_2484986,http://purl.obolibrary.org/obo/NCBITaxon_2484986
Citrus yellow mosaic virus,Citrus yellow mosaic virus,NCBITaxon_174178,http://purl.obolibrary.org/obo/NCBITaxon_174178
Citrus yellow spot virus,Citrus yellow spot virus,NCBITaxon_2828521,http://purl.obolibrary.org/obo/NCBITaxon_2828521
Citrus yellow vein clearing virus,Citrus yellow vein clearing virus,NCBITaxon_1214459,http://purl.obolibrary.org/obo/NCBITaxon_1214459
Cladobotryum protrusum,Cladobotryum protrusum,NCBITaxon_767780,http://purl.obolibrary.org/obo/NCBITaxon_767780
Cladosporium passiflorae,Cladosporium passiflorae,NCBITaxon_2283843,http://purl.obolibrary.org/obo/NCBITaxon_2283843
Cladosporium passifloricola,Cladosporium passifloricola,NCBITaxon_2650271,http://purl.obolibrary.org/obo/NCBITaxon_2650271
Clarireedia hainanense,Clarireedia hainanense,NCBITaxon_2867042,http://purl.obolibrary.org/obo/NCBITaxon_2867042
Clavibacter michiganensis subsp. michiganensis,Clavibacter michiganensis subsp. michiganensis,NCBITaxon_33013,http://purl.obolibrary.org/obo/NCBITaxon_33013
Clavibacter nebraskensis,Clavibacter michiganensis subsp. nebraskensis,NCBITaxon_31963,http://purl.obolibrary.org/obo/NCBITaxon_31963
Clavibacter zhangzhiyongii,Clavibacter zhangzhiyongii,NCBITaxon_2768071,http://purl.obolibrary.org/obo/NCBITaxon_2768071
Clivia carlavirus A,Clivia carlavirus A,NCBITaxon_2838077,http://purl.obolibrary.org/obo/NCBITaxon_2838077
Clivia yellow stripe virus,Clivia yellow stripe virus,NCBITaxon_2838134,http://purl.obolibrary.org/obo/NCBITaxon_2838134
Clostera restitura,Clostera restitura,NCBITaxon_2008422,http://purl.obolibrary.org/obo/NCBITaxon_2008422
Cnidium closterovirus 1,Cnidium closterovirus 1,NCBITaxon_2927760,http://purl.obolibrary.org/obo/NCBITaxon_2927760
Cnidium virus X,Cnidium virus X,NCBITaxon_2510428,http://purl.obolibrary.org/obo/NCBITaxon_2510428
Coccotrypes cyperi,Coccotrypes cyperi,NCBITaxon_123998,http://purl.obolibrary.org/obo/NCBITaxon_123998
Coleosporium asterum,Coleosporium asterum,NCBITaxon_73167,http://purl.obolibrary.org/obo/NCBITaxon_73167
Coleosporium clematidis,Coleosporium clematidis,NCBITaxon_2021127,http://purl.obolibrary.org/obo/NCBITaxon_2021127
Coleosporium montanum,Coleosporium montanum,NCBITaxon_2781863,http://purl.obolibrary.org/obo/NCBITaxon_2781863
Coleosporium plectranthi,Coleosporium plectranthi,NCBITaxon_420783,http://purl.obolibrary.org/obo/NCBITaxon_420783
Colletotrichum aeschynomenes,Colletotrichum aeschynomenes,NCBITaxon_1215737,http://purl.obolibrary.org/obo/NCBITaxon_1215737
Colletotrichum australianum,Colletotrichum australianum,NCBITaxon_2848967,http://purl.obolibrary.org/obo/NCBITaxon_2848967
Colletotrichum brevisporum,Colletotrichum brevisporum,NCBITaxon_1125787,http://purl.obolibrary.org/obo/NCBITaxon_1125787
Colletotrichum capsici,Colletotrichum capsici,NCBITaxon_5456,http://purl.obolibrary.org/obo/NCBITaxon_5456
Colletotrichum chongqingense,Fusarium chongqingense,NCBITaxon_2773081,http://purl.obolibrary.org/obo/NCBITaxon_2773081
Colletotrichum chrysophilum,Colletotrichum chrysophilum,NCBITaxon_1836956,http://purl.obolibrary.org/obo/NCBITaxon_1836956
Colletotrichum constrictum,Colletotrichum constrictum,NCBITaxon_1206802,http://purl.obolibrary.org/obo/NCBITaxon_1206802
Colletotrichum eriobotryae,Colletotrichum eriobotryae,NCBITaxon_2783991,http://purl.obolibrary.org/obo/NCBITaxon_2783991
Colletotrichum falcatum,Colletotrichum falcatum,NCBITaxon_129314,http://purl.obolibrary.org/obo/NCBITaxon_129314
Colletotrichum fructicola,Colletotrichum fructicola,NCBITaxon_690256,http://purl.obolibrary.org/obo/NCBITaxon_690256
Colletotrichum kahawae subsp. kahawae,Colletotrichum kahawae,NCBITaxon_34407,http://purl.obolibrary.org/obo/NCBITaxon_34407
Colletotrichum karstii,Ophiocordyceps karstii,NCBITaxon_1906358,http://purl.obolibrary.org/obo/NCBITaxon_1906358
Colletotrichum noveboracense,Colletotrichum noveboracense,NCBITaxon_2664923,http://purl.obolibrary.org/obo/NCBITaxon_2664923
Colletotrichum nymphaeae,Colletotrichum nymphaeae,NCBITaxon_306554,http://purl.obolibrary.org/obo/NCBITaxon_306554
Colletotrichum pereskiae,Colletotrichum pereskiae,NCBITaxon_2837958,http://purl.obolibrary.org/obo/NCBITaxon_2837958
Colletotrichum perseae,Colletotrichum perseae,NCBITaxon_2510595,http://purl.obolibrary.org/obo/NCBITaxon_2510595
Colletotrichum plurivorum,Colletotrichum plurivorum,NCBITaxon_2175906,http://purl.obolibrary.org/obo/NCBITaxon_2175906
Colletotrichum siamense,Colletotrichum siamense,NCBITaxon_690259,http://purl.obolibrary.org/obo/NCBITaxon_690259
Colletotrichum tropicale,Colletotrichum tropicale,NCBITaxon_912113,http://purl.obolibrary.org/obo/NCBITaxon_912113
Colletotrichum viniferum,Colletotrichum viniferum,NCBITaxon_1131913,http://purl.obolibrary.org/obo/NCBITaxon_1131913
Colletotricum arecicola,Colletotrichum arecicola,NCBITaxon_2577094,http://purl.obolibrary.org/obo/NCBITaxon_2577094
Coloradia pandora,Coloradia pandora,NCBITaxon_1346755,http://purl.obolibrary.org/obo/NCBITaxon_1346755
Common bean curly stunt virus,Common bean curly stunt virus,NCBITaxon_2600315,http://purl.obolibrary.org/obo/NCBITaxon_2600315
Concave gum-associated virus,Citrus concave gum-associated virus,NCBITaxon_2024604,http://purl.obolibrary.org/obo/NCBITaxon_2024604
Coniella granati,Coniella granati,NCBITaxon_882459,http://purl.obolibrary.org/obo/NCBITaxon_882459
Conogethes punctiferalis,Conogethes punctiferalis,NCBITaxon_1133088,http://purl.obolibrary.org/obo/NCBITaxon_1133088
Conophthorus conicolens,Conophthorus conicolens,NCBITaxon_322474,http://purl.obolibrary.org/obo/NCBITaxon_322474
Conophthorus michoacanae,Conophthorus michoacanae,NCBITaxon_322477,http://purl.obolibrary.org/obo/NCBITaxon_322477
Conophthorus monophyllae,Conophthorus monophyllae,NCBITaxon_322468,http://purl.obolibrary.org/obo/NCBITaxon_322468
Conophthorus teocotum,Conophthorus teocotum,NCBITaxon_322475,http://purl.obolibrary.org/obo/NCBITaxon_322475
Contarinia jongi,Contarinia jongi,NCBITaxon_1846296,http://purl.obolibrary.org/obo/NCBITaxon_1846296
Contarinia pseudotsugae,Rhabdocline pseudotsugae subsp. pseudotsugae,NCBITaxon_66507,http://purl.obolibrary.org/obo/NCBITaxon_66507
Copitarsia turbata,Copitarsia turbata,NCBITaxon_244214,http://purl.obolibrary.org/obo/NCBITaxon_244214
Corinectria fuckeliana,Corinectria fuckeliana,NCBITaxon_930093,http://purl.obolibrary.org/obo/NCBITaxon_930093
Costus stripe mosaic virus,Costus stripe mosaic virus,NCBITaxon_2591696,http://purl.obolibrary.org/obo/NCBITaxon_2591696
Cotton leafroll dwarf virus,Cotton leafroll dwarf virus,NCBITaxon_312295,http://purl.obolibrary.org/obo/NCBITaxon_312295
Cowpea bright yellow mosaic virus,Cowpea bright yellow mosaic virus,NCBITaxon_2174956,http://purl.obolibrary.org/obo/NCBITaxon_2174956
Cowpea mosaic virus,Cowpea mosaic virus,NCBITaxon_12264,http://purl.obolibrary.org/obo/NCBITaxon_12264
Crenidorsum turpiniae,Crenidorsum turpiniae,NCBITaxon_2774091,http://purl.obolibrary.org/obo/NCBITaxon_2774091
Criconema demani,Criconema demani,NCBITaxon_2307230,http://purl.obolibrary.org/obo/NCBITaxon_2307230
Criconema mutabile,Criconema mutabile,NCBITaxon_313709,http://purl.obolibrary.org/obo/NCBITaxon_313709
Criconemoides amorphus,Criconemoides amorphus,NCBITaxon_2663213,http://purl.obolibrary.org/obo/NCBITaxon_2663213
Crisicoccus pini,Crisicoccus pini,NCBITaxon_535996,http://purl.obolibrary.org/obo/NCBITaxon_535996
Crossotarsus externedentatus,Crossotarsus externedentatus,NCBITaxon_591146,http://purl.obolibrary.org/obo/NCBITaxon_591146
Cryphalus lipingensis,Cryphalus lipingensis,NCBITaxon_2732792,http://purl.obolibrary.org/obo/NCBITaxon_2732792
Cryphodera brinkmani,Cryphodera brinkmani,NCBITaxon_157875,http://purl.obolibrary.org/obo/NCBITaxon_157875
Cryphonectria carpinicola,Cryphonectria carpinicola,NCBITaxon_2725329,http://purl.obolibrary.org/obo/NCBITaxon_2725329
Cryphonectria neoparasitica,Cryphonectria neoparasitica,NCBITaxon_2233842,http://purl.obolibrary.org/obo/NCBITaxon_2233842
Cryptoblabes gnidiella,Cryptoblabes gnidiella,NCBITaxon_1546127,http://purl.obolibrary.org/obo/NCBITaxon_1546127
Cryptosporiopsis tarraconensis,Cryptosporiopsis tarraconensis,NCBITaxon_535817,http://purl.obolibrary.org/obo/NCBITaxon_535817
Cucumber chlorotic leaf virus,Cucumber chlorotic leaf virus,NCBITaxon_2593922,http://purl.obolibrary.org/obo/NCBITaxon_2593922
Cucumber Green Mottle Mosaic Virus,Cucumber green mottle mosaic virus,NCBITaxon_12235,http://purl.obolibrary.org/obo/NCBITaxon_12235
Cucumber vein yellowing virus,Cucumber vein yellowing virus,NCBITaxon_137475,http://purl.obolibrary.org/obo/NCBITaxon_137475
Cucurbit aphid-borne yellows virus,Cucurbit aphid-borne yellows virus,NCBITaxon_91753,http://purl.obolibrary.org/obo/NCBITaxon_91753
Cucurbit chlorotic,Cucurbit chlorotic yellows virus,NCBITaxon_558690,http://purl.obolibrary.org/obo/NCBITaxon_558690
Cucurbit yellow stunting disorder virus,Cucurbit yellow stunting disorder virus,NCBITaxon_51330,http://purl.obolibrary.org/obo/NCBITaxon_51330
Curtobacterium flaccumfaciens pv. poinsettiae,Curtobacterium flaccumfaciens pv. poinsettiae,NCBITaxon_159612,http://purl.obolibrary.org/obo/NCBITaxon_159612
Curvularia buchloes,Curvularia buchloes,NCBITaxon_1552739,http://purl.obolibrary.org/obo/NCBITaxon_1552739
Curvularia coicis,Curvularia coicis,NCBITaxon_91367,http://purl.obolibrary.org/obo/NCBITaxon_91367
Curvularia hawaiiensis,Curvularia hawaiiensis,NCBITaxon_1230527,http://purl.obolibrary.org/obo/NCBITaxon_1230527
Curvularia plantarum,Curvularia plantarum,NCBITaxon_2598762,http://purl.obolibrary.org/obo/NCBITaxon_2598762
Curvularia pseudobrachyspora,Curvularia pseudobrachyspora,NCBITaxon_2051582,http://purl.obolibrary.org/obo/NCBITaxon_2051582
Curvularia senegalensis,Curvularia senegalensis,NCBITaxon_215132,http://purl.obolibrary.org/obo/NCBITaxon_215132
Cycad leaf necrosis virus,Cycad leaf necrosis virus,NCBITaxon_549205,http://purl.obolibrary.org/obo/NCBITaxon_549205
Cyclorhipidion fukiense,Cyclorhipidion fukiense,NCBITaxon_2696737,http://purl.obolibrary.org/obo/NCBITaxon_2696737
Cylas formicarius,Cylas formicarius,NCBITaxon_197179,http://purl.obolibrary.org/obo/NCBITaxon_197179
Cytospora kuanchengensis,Cytospora kuanchengensis,NCBITaxon_2508856,http://purl.obolibrary.org/obo/NCBITaxon_2508856
Cytospora kunzei,Cytospora kunzei,NCBITaxon_1928368,http://purl.obolibrary.org/obo/NCBITaxon_1928368
Cytospora pistaciae,Cytospora pistaciae,NCBITaxon_2421471,http://purl.obolibrary.org/obo/NCBITaxon_2421471
Cytospora vinacea,Cytospora vinacea,NCBITaxon_1891351,http://purl.obolibrary.org/obo/NCBITaxon_1891351
Cytospora viticola,Cytospora viticola,NCBITaxon_1891352,http://purl.obolibrary.org/obo/NCBITaxon_1891352
Cytospora xinglongensis,Cytospora xinglongensis,NCBITaxon_2508860,http://purl.obolibrary.org/obo/NCBITaxon_2508860
Dactylonectria macrodidyma,Dactylonectria macrodidyma,NCBITaxon_307937,http://purl.obolibrary.org/obo/NCBITaxon_307937
Dactylonectria novozelandica,Dactylonectria novozelandica,NCBITaxon_1079263,http://purl.obolibrary.org/obo/NCBITaxon_1079263
Dactylonectria torresensis,Dactylonectria torresensis,NCBITaxon_1199091,http://purl.obolibrary.org/obo/NCBITaxon_1199091
Dactylopius coccus,Dactylopius coccus,NCBITaxon_765876,http://purl.obolibrary.org/obo/NCBITaxon_765876
Dactylopius opuntiae,Dactylopius opuntiae,NCBITaxon_701504,http://purl.obolibrary.org/obo/NCBITaxon_701504
Dahlia mosaic virus,Dahlia mosaic virus,NCBITaxon_213888,http://purl.obolibrary.org/obo/NCBITaxon_213888
Dalbulus maidis,Dalbulus maidis,NCBITaxon_74065,http://purl.obolibrary.org/obo/NCBITaxon_74065
Dasineura oleae,Dasineura oleae,NCBITaxon_2597404,http://purl.obolibrary.org/obo/NCBITaxon_2597404
Date palm virus A,Date palm-associated virus A,NCBITaxon_2696289,http://purl.obolibrary.org/obo/NCBITaxon_2696289
Deanolis sublimbalis,Deanolis sublimbalis,NCBITaxon_2203909,http://purl.obolibrary.org/obo/NCBITaxon_2203909
Delottococcus aberiae,Delottococcus aberiae,NCBITaxon_1112575,http://purl.obolibrary.org/obo/NCBITaxon_1112575
Dematophora bunodes,Dematophora bunodes,NCBITaxon_2703774,http://purl.obolibrary.org/obo/NCBITaxon_2703774
Dendroctonus armandi,Dendroctonus armandi,NCBITaxon_77159,http://purl.obolibrary.org/obo/NCBITaxon_77159
Dendroctonus rhizophagus,Dendroctonus rhizophagus,NCBITaxon_77169,http://purl.obolibrary.org/obo/NCBITaxon_77169
Dendrolimus superans,Dendrolimus superans,NCBITaxon_420590,http://purl.obolibrary.org/obo/NCBITaxon_420590
Dendrothrips minowai,Dendrothrips minowai,NCBITaxon_1030662,http://purl.obolibrary.org/obo/NCBITaxon_1030662
Deudorix livia,Deudorix livia,NCBITaxon_2802467,http://purl.obolibrary.org/obo/NCBITaxon_2802467
Diabrotica speciosa,Diabrotica speciosa,NCBITaxon_133126,http://purl.obolibrary.org/obo/NCBITaxon_133126
Diabrotica virgifera virgifera,Diabrotica virgifera virgifera,NCBITaxon_50390,http://purl.obolibrary.org/obo/NCBITaxon_50390
Dialeurodes citri,Dialeurodes citri,NCBITaxon_298404,http://purl.obolibrary.org/obo/NCBITaxon_298404
Diaphania indica,Diaphania indica,NCBITaxon_390977,http://purl.obolibrary.org/obo/NCBITaxon_390977
Diaphorina communis,Diaphorina communis,NCBITaxon_2050950,http://purl.obolibrary.org/obo/NCBITaxon_2050950
Diaporthe ambigua,Diaporthe ambigua,NCBITaxon_73123,http://purl.obolibrary.org/obo/NCBITaxon_73123
Diaporthe biconispora,Diaporthe biconispora,NCBITaxon_1766650,http://purl.obolibrary.org/obo/NCBITaxon_1766650
Diaporthe chamaeropis,Diaporthe chamaeropis,NCBITaxon_1303536,http://purl.obolibrary.org/obo/NCBITaxon_1303536
Diaporthe crousii,Diaporthe crousii,NCBITaxon_2710531,http://purl.obolibrary.org/obo/NCBITaxon_2710531
Diaporthe drenthii,Diaporthe drenthii,NCBITaxon_2715450,http://purl.obolibrary.org/obo/NCBITaxon_2715450
Diaporthe foeniculina,Diaporthe foeniculina,NCBITaxon_1469663,http://purl.obolibrary.org/obo/NCBITaxon_1469663
Diaporthe humulicola,Diaporthe humulicola,NCBITaxon_2593060,http://purl.obolibrary.org/obo/NCBITaxon_2593060
