PROPERTY VALUE,ONTOLOGY TERM LABEL(S),ONTOLOGY TERM(S),ontology term URI
H1N1v,Inactivated Influenza split virion subtype H1N1v-like strain adjuvant vaccine (product),449000000,http://snomed.info/id/449000000
H1N2,H1N2 subtype,NCBITaxon_114728,http://purl.obolibrary.org/obo/NCBITaxon_114728
H2N1,H2N1 subtype,NCBITaxon_114730,http://purl.obolibrary.org/obo/NCBITaxon_114730
H6N1,H6N1 subtype,NCBITaxon_119212,http://purl.obolibrary.org/obo/NCBITaxon_119212
Hepatitis,hepatitis,DOID_2237,http://purl.obolibrary.org/obo/DOID_2237
Hepatitis A,hepatitis A,DOID_12549,http://purl.obolibrary.org/obo/DOID_12549
Hepatitis B,hepatitis B,DOID_2043,http://purl.obolibrary.org/obo/DOID_2043
Hepatitis C,hepatitis C,DOID_1883,http://purl.obolibrary.org/obo/DOID_1883
Hepatitis E,hepatitis E,DOID_4411,http://purl.obolibrary.org/obo/DOID_4411
Zoster (Herpes zoster),Herpes Zoster,NCIT_C71079,http://purl.obolibrary.org/obo/NCIT_C71079
HFMD,"hand, foot and mouth disease",EFO_0007294,http://www.ebi.ac.uk/efo/EFO_0007294
Japanese Encephalitis,Japanese encephalitis,DOID_10844,http://purl.obolibrary.org/obo/DOID_10844
Kyasanur Forest Disease,Kyasanur forest disease,DOID_11320,http://purl.obolibrary.org/obo/DOID_11320
Lassa Fever,Lassa fever,DOID_9537,http://purl.obolibrary.org/obo/DOID_9537
Leishmaniasis,Leishmaniasis,NCIT_C34767,http://purl.obolibrary.org/obo/NCIT_C34767
Leprosy,leprosy,DOID_1024,http://purl.obolibrary.org/obo/DOID_1024
Leptospirosis,leptospirosis,DOID_2297,http://purl.obolibrary.org/obo/DOID_2297
Listeriosis,listeriosis,DOID_11573,http://purl.obolibrary.org/obo/DOID_11573
Lyme disease,Lyme disease,DOID_11729,http://purl.obolibrary.org/obo/DOID_11729
Malaria,malaria,DOID_12365,http://purl.obolibrary.org/obo/DOID_12365
Marburg Hemorrhagic Fever,Marburg hemorrhagic fever,DOID_4327,http://purl.obolibrary.org/obo/DOID_4327
Measles,measles,DOID_8622,http://purl.obolibrary.org/obo/DOID_8622
Melioidosis,melioidosis,DOID_5052,http://purl.obolibrary.org/obo/DOID_5052
Meningitis,meningitis,SYMP_0019173,http://purl.obolibrary.org/obo/SYMP_0019173
Microcephaly,microcephaly,DOID_10907,http://purl.obolibrary.org/obo/DOID_10907
MRSA,Methicillin Resistant Staphylococcus Aureus,NCIT_C123515,http://purl.obolibrary.org/obo/NCIT_C123515
Mumps,mumps,DOID_10264,http://purl.obolibrary.org/obo/DOID_10264
Norovirus,Norovirus,NCBITaxon_142786,http://purl.obolibrary.org/obo/NCBITaxon_142786
Nosocomial,Nosocomial Pneumonia,NCIT_C115297,http://purl.obolibrary.org/obo/NCIT_C115297
Onchocerciasis,onchocerciasis,DOID_11678,http://purl.obolibrary.org/obo/DOID_11678
Pain,Pain,HP_0012531,http://purl.obolibrary.org/obo/HP_0012531
Paralysis,paralysis,SYMP_0000030,http://purl.obolibrary.org/obo/SYMP_0000030
Whooping cough,Whooping cough,HP_0031247,http://purl.obolibrary.org/obo/HP_0031247
Pneumonia,pneumonia,DOID_552,http://purl.obolibrary.org/obo/DOID_552
Poliomyelitis,poliomyelitis,DOID_4953,http://purl.obolibrary.org/obo/DOID_4953
Rash,rash,SYMP_0000487,http://purl.obolibrary.org/obo/SYMP_0000487
skin Rash,Skin Rash,NCIT_C39594,http://purl.obolibrary.org/obo/NCIT_C39594
Respiratory Symptoms,respiratory symptom,GSSO_004096,http://purl.obolibrary.org/obo/GSSO_004096
Rickettsialpox,rickettsialpox,DOID_11103,http://purl.obolibrary.org/obo/DOID_11103
Sleeping Sickness,sleeping sickness,DOID_10112,http://purl.obolibrary.org/obo/DOID_10112
SSPE,Subacute Sclerosing Panencephalitis,NCIT_C85171,http://purl.obolibrary.org/obo/NCIT_C85171
Trachoma,trachoma,DOID_11265,http://purl.obolibrary.org/obo/DOID_11265
Tuberculosis,tuberculosis,DOID_399,http://purl.obolibrary.org/obo/DOID_399
Tungiasis,tungiasis,DOID_0050266,http://purl.obolibrary.org/obo/DOID_0050266
Typhoid fever,Typhoid Fever,NCIT_C35089,http://purl.obolibrary.org/obo/NCIT_C35089
Typhus,typhus,DOID_11256,http://purl.obolibrary.org/obo/DOID_11256
Visceral Leishmaniasis,visceral leishmaniasis,DOID_9146,http://purl.obolibrary.org/obo/DOID_9146
Yellow Fever,yellow fever,DOID_9682,http://purl.obolibrary.org/obo/DOID_9682
Yersinia Pestis,Yersinia pestis,NCBITaxon_632,http://purl.obolibrary.org/obo/NCBITaxon_632
Zika virus,Zika virus,NCBITaxon_64320,http://purl.obolibrary.org/obo/NCBITaxon_64320
Clostridium perfringens,Clostridium perfringens,NCBITaxon_1502,http://purl.obolibrary.org/obo/NCBITaxon_1502
Rift Valley Fever,Rift Valley fever,DOID_1328,http://purl.obolibrary.org/obo/DOID_1328
diethanolamine,diethanolamine,CHEBI_28123,http://purl.obolibrary.org/obo/CHEBI_28123
Alkanes,alkane,CHEBI_18310,http://purl.obolibrary.org/obo/CHEBI_18310
Amines,amine,CHEBI_32952,http://purl.obolibrary.org/obo/CHEBI_32952
Ethers,ether,CHEBI_25698,http://purl.obolibrary.org/obo/CHEBI_25698
Chlorine,Chlorine,NCIT_C28140,http://purl.obolibrary.org/obo/NCIT_C28140
Furan,furan,CHEBI_35559,http://purl.obolibrary.org/obo/CHEBI_35559
Hydrazine,hydrazine,CHEBI_15571,http://purl.obolibrary.org/obo/CHEBI_15571
Isoprene,isoprene,CHEBI_35194,http://purl.obolibrary.org/obo/CHEBI_35194
Alphavirus,Alphavirus,NCBITaxon_11019,http://purl.obolibrary.org/obo/NCBITaxon_11019
Chapare virus,Chapare virus (organism),451000000,http://snomed.info/id/451000000
Cysticercosis,Cysticercosis,OMIT_0004837,http://purl.obolibrary.org/obo/OMIT_0004837
Dracunculiasis,dracunculiasis,DOID_14418,http://purl.obolibrary.org/obo/DOID_14418
Foot-and-mouth disease,foot and mouth disease,EFO_0007277,http://www.ebi.ac.uk/efo/EFO_0007277
O'nyong-nyong fever,O'nyong-nyong fever (disorder),85579005,http://snomed.info/id/85579005
Chickenpox,chickenpox,EFO_0007204,http://www.ebi.ac.uk/efo/EFO_0007204
Peste des petits ruminants,Peste-des-petits-ruminants virus,OMIT_0018347,http://purl.obolibrary.org/obo/OMIT_0018347
Swine flu,H1N1 Influenza,NCIT_C80444,http://purl.obolibrary.org/obo/NCIT_C80444
Hepatitis D,hepatitis D virus infection,EFO_0007304,http://www.ebi.ac.uk/efo/EFO_0007304
Shrimp haemocyte iridescent virus (SHIV),Shrimp hemocyte iridescent virus,NCBITaxon_2039780,http://purl.obolibrary.org/obo/NCBITaxon_2039780
Infection with Batrachochytrium dendrobatidis,Batrachochytrium dendrobatidis JAM81,NCBITaxon_684364,http://purl.obolibrary.org/obo/NCBITaxon_684364
Infection with Batrachochytrium salamandrivorans,Batrachochytrium salamandrivorans,NCBITaxon_1357716,http://purl.obolibrary.org/obo/NCBITaxon_1357716
Cataract,Cataract,HP_0000518,http://purl.obolibrary.org/obo/HP_0000518
Myopia,myopia,DOID_11830,http://purl.obolibrary.org/obo/DOID_11830
Cannabinoids,Cannabinoid,NCIT_C105578,http://purl.obolibrary.org/obo/NCIT_C105578
MDMA-Ecstasy,"3,4-Methylenedioxymethamphetamine",NCIT_C61081,http://purl.obolibrary.org/obo/NCIT_C61081
Nickel,Nickel,NCIT_C690,http://purl.obolibrary.org/obo/NCIT_C690
Adverse Events Following Immunization,Adverse Event Following Immunization,NCIT_C102470,http://purl.obolibrary.org/obo/NCIT_C102470
Coronavirus Variant Beta,SARS Coronavirus 2 B.1.351,NCIT_C179575,http://purl.obolibrary.org/obo/NCIT_C179575
Coronavirus Variant Gamma,SARS Coronavirus 2 P.1,NCIT_C179599,http://purl.obolibrary.org/obo/NCIT_C179599
Maternal Mortality,Maternal Mortality,NCIT_C111860,http://purl.obolibrary.org/obo/NCIT_C111860
Yersinia Pseudotuberculosis,Yersinia pseudotuberculosis,NCIT_C86861,http://purl.obolibrary.org/obo/NCIT_C86861
NTU Mental Health Impacts,NTU Mental Health Impacts,NCIT_C48647,http://purl.obolibrary.org/obo/NCIT_C48647
Enterococcus,Enterococcus,NCIT_C76311,http://purl.obolibrary.org/obo/NCIT_C76311
Streptococcus,Streptococcus,NCIT_C76383,http://purl.obolibrary.org/obo/NCIT_C76383
Bornavirus,Genus Bornavirus (organism),407340002,http://snomed.info/id/407340002
Colorado tick fever virus,Colorado Tick Fever Virus,NCIT_C112240,http://purl.obolibrary.org/obo/NCIT_C112240
JC virus,JC Virus,NCIT_C14229,http://purl.obolibrary.org/obo/NCIT_C14229
Wuchereria bancrofti,Wuchereria bancrofti,NCIT_C122328,http://purl.obolibrary.org/obo/NCIT_C122328
Pasteurellosis,pasteurellosis,DOID_11055,http://purl.obolibrary.org/obo/DOID_11055
Aedes aegypti,Aedes aegypti,NCBITaxon_7159,http://purl.obolibrary.org/obo/NCBITaxon_7159
Culex pipiens,Culex pipiens,NCBITaxon_7175,http://purl.obolibrary.org/obo/NCBITaxon_7175
Circovirus,Circovirus,OMIT_0018188,http://purl.obolibrary.org/obo/OMIT_0018188
Fascioliasis,Fascioliasis,EFO_1001324,http://www.ebi.ac.uk/efo/EFO_1001324
Ehrlichiosis,Ehrlichiosis,Orphanet_1902,http://www.orpha.net/ORDO/Orphanet_1902
Feline immunodeficiency virus,Feline Immunodeficiency Virus,NCIT_C14288,http://purl.obolibrary.org/obo/NCIT_C14288
Simian immunodeficiency virus,Simian Immunodeficiency Virus,NCIT_C14274,http://purl.obolibrary.org/obo/NCIT_C14274
Intensive care unit,intensive care unit,ENVO_03600008,http://purl.obolibrary.org/obo/ENVO_03600008
Pregnant women,pregnant women,VO_0001094,http://purl.obolibrary.org/obo/VO_0001094
Myxomatosis,infectious myxomatosis,EFO_0007327,http://www.ebi.ac.uk/efo/EFO_0007327
Aceria kenyae,Cisaberoptus kenyae,NCBITaxon_1670754,http://purl.obolibrary.org/obo/NCBITaxon_1670754
Agrilus auroguttatus Agrilus coxalis,Agrilus coxalis auroguttatus,NCBITaxon_1005961,http://purl.obolibrary.org/obo/NCBITaxon_1005961
Agrilus granulatus subsp. granulatus,Agrilus granulatus,NCBITaxon_2083511,http://purl.obolibrary.org/obo/NCBITaxon_2083511
Agrilus granulatus subsp. liragus,Agrilus liragus,NCBITaxon_1709566,http://purl.obolibrary.org/obo/NCBITaxon_1709566
Agrocybe parasitica,Cyclocybe parasitica,NCBITaxon_2792537,http://purl.obolibrary.org/obo/NCBITaxon_2792537
Alternaria alternata,Alternaria alternata,NCBITaxon_5599,http://purl.obolibrary.org/obo/NCBITaxon_5599
Apple luteovirus,Apple-associated luteovirus,NCBITaxon_2054409,http://purl.obolibrary.org/obo/NCBITaxon_2054409
